kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0004264381995696399,0.00011002754262751743,0.017166295085395522,0.0022400859603091275,0.025489322245310614,0.003080138413675936,0.7337138364665087,0.06870588103708243,0.8799999999999999,0.0979795897113271,0.9,0.08164965809277258
2,0.0018187527753442101,0.00046229848072000497,0.036397500990899695,0.006361580865401923,0.05245491813895929,0.010318968518388849,0.5094559222700356,0.12468862449864272,0.5199999999999999,0.16,0.5666666666666667,0.16996731711975951
3,0.0007168980732644382,0.0001913718598064006,0.021209031579351795,0.00364478822136568,0.03137289643319378,0.005187597077994642,0.5257330084772316,0.12660287368218381,0.76,0.08000000000000003,0.7666666666666668,0.13333333333333336
4,0.0012942825418946315,0.00010585625404120554,0.0278849953201123,0.0017373847972542021,0.03952455942406597,0.0026285843581062137,0.5606839954424587,0.03593059867340497,0.44000000000000006,0.07999999999999999,0.5333333333333333,0.06666666666666665
5,0.0005714995626529904,0.00010980927188759771,0.018545087742664827,0.0032199657288707424,0.027273216667855815,0.004730475069651018,0.6779096344655541,0.061887201378005526,0.56,0.07999999999999999,0.5666666666666667,0.13333333333333333
6,0.0009329463513866904,0.0002382917045221404,0.0257334718419873,0.002793569267213978,0.038024655943747515,0.0032382515059263596,0.4022276620102613,0.15268207986883395,0.43999999999999995,0.14966629547095764,0.4333333333333333,0.13333333333333333
7,0.0023396865784787967,0.0005255103957374592,0.044271612837176524,0.003635760118580851,0.06853993824662966,0.006019767807765471,-0.8802328579280392,0.4223137929400625,0.27999999999999997,0.09797958971132713,0.4,0.08164965809277261
8,0.0009601308252442777,0.0002143297565806296,0.02877948499104005,0.00368024958967913,0.04292680368782663,0.005579403648771185,0.5510011866399352,0.10022988934655891,0.44000000000000006,0.23323807579381203,0.4333333333333333,0.27080128015453203
