kf, mse, mae, mape, r2, acc, bal_acc
1,0.0004402435846597115,0.01582719446141969,0.0237328185127475,0.7250931663777418,1.0,1.0
1,0.0004479155407238774,0.01842820746045535,0.027663583599060747,0.7203024704476257,0.8,0.8333333333333334
1,0.0002235201988814352,0.013898302141241482,0.021091292899083302,0.8604244734818596,1.0,1.0
1,0.000558484086917794,0.020486522737554958,0.029965378642284424,0.6512587637553846,0.8,0.8333333333333334
1,0.0004620275866653813,0.017191248626306145,0.024993537573377092,0.711490308269932,0.8,0.8333333333333334
2,0.0018363635712053904,0.03890673458007206,0.056116709183065126,0.5047060344727903,0.6,0.6666666666666666
2,0.0012221795373974873,0.02637894689467777,0.036593326404506146,0.6703604018530668,0.8,0.8333333333333334
2,0.0018050592843715982,0.036454875487359636,0.05210077230185024,0.5131492559606424,0.4,0.5
2,0.0026330487036361214,0.04595064460662235,0.0684396343029521,0.28982846626924796,0.4,0.3333333333333333
2,0.0015971127801104532,0.034296303385766634,0.04902414850242285,0.5692354527944303,0.4,0.5
3,0.0006939878577922718,0.021945186154699692,0.03233488016844617,0.5408893596690346,0.8,0.8333333333333334
3,0.0009560999626494655,0.02609843780264891,0.03826650820119343,0.3674879738259068,0.6,0.5
3,0.0008414558860774636,0.022808082597113023,0.03364596865777193,0.4433312538114752,0.8,0.8333333333333334
3,0.0003855856567611321,0.015016055505133052,0.02245845159719254,0.7449141569404407,0.8,0.8333333333333334
3,0.0007073610030418581,0.02017739583716429,0.030158673541364804,0.5320422981393005,0.8,0.8333333333333334
4,0.0011750490711925788,0.0262896429439331,0.03730644787622082,0.601155198802489,0.4,0.5
4,0.0013192524726020497,0.028792120112969964,0.040991703739211495,0.5522084965947315,0.4,0.5
4,0.0014783924009894,0.030558360709741206,0.043474525241529414,0.49819191579285926,0.4,0.5
4,0.0012897016299218483,0.028034187450006097,0.03976295586137947,0.5622388861869225,0.4,0.5
4,0.001209017134767281,0.02575066538391113,0.03608716440198864,0.5896254798352918,0.6,0.6666666666666666
5,0.0005939089892740127,0.02054696139980474,0.029871016094024504,0.6652799477895468,0.6,0.6666666666666666
5,0.000516253561754662,0.018401406698931887,0.027230444789305176,0.7090456243883729,0.6,0.5
5,0.0007754261056399871,0.023487520787011773,0.034678135856049314,0.5629790569722871,0.4,0.3333333333333333
5,0.00046992095246816117,0.014783627417791757,0.021700165329960414,0.73515813266743,0.6,0.6666666666666666
5,0.000501988204128129,0.01550592240978399,0.022886321269939662,0.7170854105101332,0.6,0.6666666666666666
6,0.0008819098156853062,0.027223777439855934,0.03972089054974403,0.43492860909448217,0.6,0.6666666666666666
6,0.0013802797541881083,0.030549493261621107,0.04363734314122049,0.11560503504349906,0.2,0.3333333333333333
6,0.0009338088866424927,0.023167824414038064,0.03568263780532421,0.40167500459786754,0.6,0.5
6,0.0007002035006529194,0.023977553513311746,0.035881630089438635,0.5513543913519114,0.4,0.3333333333333333
6,0.0007685297997646253,0.023748710581109632,0.03520077813301022,0.5075752699635458,0.4,0.3333333333333333
7,0.0020963763460032534,0.0446979624770691,0.06852982914219449,-0.6847024403162632,0.2,0.3333333333333333
7,0.0027397258520565895,0.04838709659801026,0.07511623223446681,-1.2017148006640062,0.2,0.3333333333333333
7,0.002441935667773229,0.045325682833056644,0.07059391114773093,-0.9624028798245652,0.2,0.3333333333333333
7,0.002957721719656186,0.04548655576930542,0.07117852515060348,-1.3769019376607003,0.4,0.5
7,0.0014626733069047246,0.03746076650844117,0.05728119355815255,-0.1754422311746615,0.4,0.5
8,0.0012067162217151242,0.03192213035007936,0.047053202373446,0.4356871612005764,0.4,0.3333333333333333
8,0.0006428389840895556,0.023141042951550304,0.03414545268308702,0.6993806120490242,0.8,0.8333333333333334
8,0.0009272621753018077,0.02826791263004762,0.042495854235047086,0.566371992818522,0.2,0.16666666666666666
8,0.0008361863261045439,0.027022104028668226,0.04055088692202343,0.6089630097301264,0.6,0.6666666666666666
8,0.0011876504190103567,0.033544234994854746,0.0503886222255296,0.4446031574014272,0.2,0.16666666666666666
